,,order_id,product_id,title,sku_id,sku_name,brand,kind,function,stock_num,天猫链接,天猫链接2,产品名称 ,SKU名称,天猫价格,new_url_1,price1,price2,new_url_2
46,,6000,59292218,芙清医用皮肤液体敷料 清洁护理Ⅰ型（洁面）,116975184,新升级医用洁面乳75g,芙清,洁面,"抗痘祛痘,修护",100,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.61.4b9dc614jfBYw9&id=597655781410,,FQ芙清医用洗面奶男女学生氨基酸黑头粉刺青春痘修护敷料去痘洁面,新升级医用洁面乳75g,108.00 ,https://detail.tmall.com/item.htm?spm=a1z10.3-b-s.w4011-21576939866.61.4b9dc614jfBYw9&id=597655781410,108.00,-1,
47,,9999,56656287,广御抑菌水爽肤水弱碱盐水零添加无刺激敏感肌可用,118283873,50ml,广御,"爽肤水,修护水",补水保湿,100,https://item.taobao.com/item.htm?id=626648472514,,广御抑菌水爽肤水弱碱盐水零添加无刺激敏感肌可用日本进口食品级,50ml,138.00 ,https://item.taobao.com/item.htm?id=626648472514,138.00,-1,
48,,9999,56656287,广御抑菌水爽肤水弱碱盐水零添加无刺激敏感肌可用,118285823,80ml,广御,"爽肤水,修护水",补水保湿,100,https://item.taobao.com/item.htm?id=660707799094,,广御抑菌水爽肤水弱碱性盐水零添加无刺激敏感肌可用日本进口,80ml,198.00 ,https://item.taobao.com/item.htm?id=660707799094,198.00,-1,
49,,6000,67286871,过敏性皮炎补水消炎舒缓套装,140145054,过敏性皮炎护理套装（敷料+喷雾+特护霜）,套装,隔离防晒,"补水保湿,修护",10,,,,,,,-1,-1,
50,,6000,67286871,过敏性皮炎补水消炎舒缓套装,140154995,可复美类人胶原蛋白敷料1盒（5P）,套装,隔离防晒,"补水保湿,修护",10,,,,,,,-1,-1,
51,,6000,67286871,过敏性皮炎补水消炎舒缓套装,140158944,百植萃舒缓修护保湿喷雾1瓶（150ml）,套装,隔离防晒,"补水保湿,修护",10,,,,,,,-1,-1,
52,,6000,67286871,过敏性皮炎补水消炎舒缓套装,140152940,薇诺娜舒敏保湿特护霜1支（50g）,套装,隔离防晒,"补水保湿,修护",10,,,,,,,-1,-1,
53,,6000,67306785,黄褐斑改善皮肤屏障抗炎修护套装,140197454,黄褐斑护理套装（精华液+面膜+防晒乳+面霜+修护水）,套装,面膜,"补水保湿,修护",100,,,,,,,-1,-1,
54,,6000,67306785,黄褐斑改善皮肤屏障抗炎修护套装,140177853,优斐斯传明酸修护精华液1瓶（30ml）,套装,面膜,"补水保湿,修护",100,,,,,,,-1,-1,
55,,6000,67306785,黄褐斑改善皮肤屏障抗炎修护套装,140181904,百植萃舒缓清透防晒乳1支（40g）,套装,面膜,"补水保湿,修护",100,,,,,,,-1,-1,
56,,6000,67306785,黄褐斑改善皮肤屏障抗炎修护套装,140205312,百植萃维生素B5富勒烯保湿面霜1罐（50g）,套装,面膜,"补水保湿,修护",100,,,,,,,-1,-1,
57,,6000,67306785,黄褐斑改善皮肤屏障抗炎修护套装,140179915,绽妍液体敷料修护水1瓶（120ml）,套装,面膜,"补水保湿,修护",100,,,,,,,-1,-1,
58,,6000,67306785,黄褐斑改善皮肤屏障抗炎修护套装,140219061,森花泉古方草本护肤天门冬面膜1盒（5P）,套装,面膜,"补水保湿,修护",100,,,,,,,-1,-1,
59,,6000,67278488,激素依赖性皮炎屏障修复护理套装,140200654,激素依赖性皮炎护理套装（敷料+特护霜+洁面乳）,套装,乳液,"控油,清爽清洁,平衡水油",100,,,,,,,-1,-1,
60,,6000,67278488,激素依赖性皮炎屏障修复护理套装,140165468,可复美类人胶原蛋白敷料1盒（5P）,套装,乳液,"控油,清爽清洁,平衡水油",100,,,,,,,-1,-1,
61,,6000,67278488,激素依赖性皮炎屏障修复护理套装,140206568,薇诺娜舒缓保湿特护霜1支（50g）,套装,乳液,"控油,清爽清洁,平衡水油",100,,,,,,,-1,-1,
62,,6000,67278488,激素依赖性皮炎屏障修复护理套装,140206567,百植萃舒缓修护保湿喷雾1瓶（150ml）,套装,乳液,"控油,清爽清洁,平衡水油",100,,,,,,,-1,-1,
